Emnekode	Emnenavn	Sted
EUR2900	Bacheloroppgave i europastudier	Trondheim
FILM2205	Bacheloroppgave i filmvitenskap	Trondheim
AF3015	Bacheloroppgave i finansiell styring	Trondheim
FRA2900	Bacheloroppgave i fransk	Trondheim
FYST2900	Bacheloroppgave i fysioterapi	Trondheim
GEOG2900	Bacheloroppgave i geografi	Trondheim
HIST2010	Bacheloroppgave i historie	Trondheim
HIST2020	Bacheloroppgave i historie	Trondheim
HIST2055	Bacheloroppgave i historie - femårig lektorutdanning	Trondheim
HIST2045	Bacheloroppgave i historie - femårig lektorutdanning	Trondheim
INFT2900	Bacheloroppgave i informasjonsbehandling	Trondheim
KLAS2000	Bacheloroppgave i klassiske fag(Kun eksamen, undervises ikke)	Trondheim
AF3030	Bacheloroppgave i markedsføring	Trondheim
IMAK3001	Bacheloroppgave i materialteknologi	Trondheim
TMAK3001	Bacheloroppgave i materialteknologi	Trondheim
MV2014	Bacheloroppgave i medievitenskap	Trondheim
MUSV2032	Bacheloroppgave i musikkvitenskap	Trondheim
NORD2900	Bacheloroppgave i nordisk eller norsk som andrespråk	Trondheim
NORD2901	Bacheloroppgave i nordisk for lektorstudenter	Trondheim
TEGN2010	Bacheloroppgave i norsk tegnspråk og/ eller tolking	Trondheim
AF3025	Bacheloroppgave i organisering og endring(Kun eksamen, undervises ikke)	Trondheim
PAG2900	Bacheloroppgave i paramedisin	Gjøvik
PED2900	Bacheloroppgave i pedagogikk	Trondheim
PSY2910	Bacheloroppgave i psykologi	Trondheim
RAT2900	Bacheloroppgave i radiografi	Trondheim
RAG2900	Bacheloroppgave i radiografi	Gjøvik
AF3040	Bacheloroppgave i regnskap	Trondheim
VLR2900	Bacheloroppgave i rådgivning og voksnes læring	Trondheim
IDRSA2900	Bacheloroppgave i samfunns- og idrettsvitenskap	Trondheim
SØK2013	Bacheloroppgave i samfunnsøkonomi	Trondheim
BSA2900	Bacheloroppgave i sosialt arbeid	Trondheim
SOS2900	Bacheloroppgave i sosiologi	Trondheim
SPA2900	Bacheloroppgave i spansk	Trondheim
POL2900	Bacheloroppgave i statsvitenskap	Trondheim
SYT2900	Bacheloroppgave i sykepleie	Trondheim
SYT6305	Bacheloroppgave i sykepleie	Trondheim
SYG2900	Bacheloroppgave i sykepleie	Gjøvik
SPL3903	Bacheloroppgave i sykepleie(Kun eksamen, undervises ikke)	Gjøvik
SYA2900	Bacheloroppgave i sykepleie	Ålesund
TYSK2900	Bacheloroppgave i tysk	Trondheim
VET2900	Bacheloroppgave i vernepleie	Trondheim
AF3020	Bacheloroppgave i økonomistyring	Trondheim
AIS2901	Bacheloroppgave ingeniørfag	Ålesund
AIST2900	Bacheloroppgave ingeniørfag	Trondheim
AIS2900	Bacheloroppgave ingeniørfag	Ålesund
TKJE3001	Bacheloroppgave kjemi	Trondheim
IMAK3002	Bacheloroppgave kjemi	Trondheim
TLOG3030	Bacheloroppgave logistikk	Trondheim
TLOG3001	Bacheloroppgave logistikk	Trondheim
BLOG391	Bacheloroppgave logistikkledelse	Gjøvik
KLAS2010	Bacheloroppgave og hospitering	Trondheim
SKID2910	Bacheloroppgave skipsdesign	Ålesund
SKID2900	Bacheloroppgave skipsdesign	Ålesund
HBIO3011	Bacheloroppgave tilpasset internasjonale studenter	Trondheim
BI3102	Bacheloroppgave, BIHAV havbruksingeniør	Trondheim
BMR3930	Bacheloroppgave, BIHAV havbruksingeniør	Trondheim
MUST2061	Bacheloroppgave: Musikkteknologi i møte med publikum	Trondheim
KJ2900	Bachelorprosjekt i kjemi	Trondheim
MA2002	Bachelorprosjekt i matematiske fag	Trondheim
IDG2003	Back-end web development I	Gjøvik
SØK2010	Bank- og kredittmarkeder	Trondheim
FH3011	Barn og unge: folkehelsens fundament	Trondheim
MDV6201	Barn og unges psykiske helse - Del I: Normalutvikling 0-23 år i et systemperspektiv	Trondheim
MDV6202	Barn og unges psykiske helse - Del II: Skjevutvikling og psykiske lidelser 0 - 23 år	Trondheim
MDV6221	Barn og unges psykiske helse i et folkehelseperspektiv	Trondheim
MBV3002	Barn, familier og hverdagsliv	Trondheim
ISA3505	Barn, familier og hverdagsliv	Trondheim
SYA3403	Barn, unge og deres foreldre/omsorgsgivere	Ålesund
SYT3403	Barn, unge og deres foreldre/omsorgsgivere	Trondheim
PED2013	Barndom, mangfold og inkludering	Trondheim
IDRSA1003	Barne- og ungdomsidrett	Trondheim
PED2002	Barne- og ungdomskulturer	Trondheim
AUT2204	Barneaudiologi(Kun eksamen, undervises ikke)	Trondheim
SYT3520	Barnesykepleie 1	Trondheim
SYT3521	Barnesykepleie 2	Trondheim
BSA2004	Barnevern	Trondheim
MBV3003	Barnevern, rettsanvendelse og samfunn	Trondheim
BBV2500	Barnevernfaglig veiledet praksis	Trondheim
BBV1003	Barnevernspedagogen og samfunnsoppdraget	Trondheim
TGB4135	Bassenganalyse	Trondheim
